"point_label","deplacement_initial","deplacement_final","variation_totale","variation_annuelle_moyenne","deplacement_max","deplacement_min","amplitude_saisonniere"
"Extrémité droite (35 m)",498.78,509.56,10.78,5.39000000000001,512.67,491.45,21.22
"Extrémité gauche (1 m)",500.23,503.78,3.54999999999995,1.77499999999998,506.78,496.45,10.33
"Zone critique - après centre (16 m)",545.23,575.23,30,15,575.89,543.45,32.4399999999999
"Zone critique - avant centre (14 m)",540.68,567.01,26.33,13.165,568.12,538.78,29.34
